num_registrazione,denominazione_prodotto,ragione_sociale,indirizzo_sede_legale,cap_sede_legale,comune_sede_legale,provincia_sede_legale,indirizzo_sede_amministrativa,cap_sede_amministrativa,comune_sede_amministrativa,provincia_sede_amministrativa,data_registrazione,data_scadenza_autorizzazione,indicazioni_di_pericolo,attivita,codice_formulazione,descrizione_formulazione,sostanze_attive,contenuto_per_100g_di_prodotto,importazione_parallela,PFnPO,PFnPE,stato_amministrativo,motivo_della revoca,data_decreto_revoca,data_decorrenza_revoca
000020,BASF-D ESTER 50,BASF A.G. (AKTIENGESELLSHAFT),"CARL BOSCH STRASSE, 88",6700,LUDWIGSHAFEN (G),-,"VIA S. SOFIA, 21",20122,MILANO C/O SOLPLANT,-,27/07/1971,-,-,-,EC,CONCENTRATO EMULSIONABILE,2,4-D,46.0 g,NO,NO,NO,Revocato,-,-,20/09/2002
000021,PERTHANE EC,DU PONT DE NEMOURS ITALIANA S.R.L.,"VIA PONTACCIO, 10",20121,MILANO,MILANO,"VIA DEI COMIZI AGRARI, 10",26100,CREMONA,CREMONA,09/11/1972,-,-,-,-,-,PERTANE,45.0 g,NO,NO,NO,Revocato,-,-,07/04/1990
000022,U 46 DP-FLUID,BASF A.G. (AKTIENGESELLSHAFT),"CARL BOSCH STRASSE, 88",6700,LUDWIGSHAFEN (G),-,"VIA S. SOFIA, 21",20122,MILANO C/O SOLPLANT,-,20/07/1971,-,-,-,SL,CONCENTRATO SOLUBILE,DICHLORPROP,54.0 g,NO,NO,NO,Revocato,-,-,20/09/2002
000023,AGROXONE 3,SYNGENTA ITALIA S.P.A.,"VIA FULVIO TESTI, 280/6",20126,MILANO,MILANO,"VIA GALLARATE, 139",20151,MILANO,MILANO,28/07/1971,-,-,-,AL,LIQUIDO (SENZA DILUIZIONE),MCPA,25.0 g,NO,NO,NO,Revocato,-,-,14/03/2003 
