SPECIE;CV;DATA;GG
ACTINIDIA;Ananasnaya;20;10-ott
ACTINIDIA;Boerica;0;31-ott
ACTINIDIA;Dorì;-15;11-set
ACTINIDIA;Enza Red;-10;16-set
ACTINIDIA;Green Angel;-5;26-ott
ACTINIDIA;Green Light;-35;26-set
ACTINIDIA;Hayward;0;31-ott
ACTINIDIA;Hayward Chico;-4;27-ott
ACTINIDIA;Hayward clone 8;-5;26-ott
ACTINIDIA;HFR18;12;08-ott
ACTINIDIA;Issai;20;10-ott
ACTINIDIA;Jingold;24;20-ott
ACTINIDIA;Jingold;30;26-ott
ACTINIDIA;Jumbo;15;05-ott
ACTINIDIA;Matua;-30;01-ott
ACTINIDIA;Meris;-7;24-ott
ACTINIDIA;Missionario Chiandetti;0;20-set
ACTINIDIA;Soreli;4;30-set
ACTINIDIA;Summerkiwi;-60;01-set
ACTINIDIA;Tsechelidis;-5;26-ott
ACTINIDIA;Tuscia;5;05-nov
ACTINIDIA;Weiki;20;10-ott
ACTINIDIA;Z5Z6;0;31-ott
ACTINIDIA;Zespri Gold;30;26-ott
ACTINIDIA;Zespri SunGold;0;26-set
ALBICOCCO;Agostino;38;04-ago
ALBICOCCO;Albinova;23;20-lug
ALBICOCCO;Alissa;11;08-lug
ALBICOCCO;Alize;-50;08-mag
ALBICOCCO;Anegat;13;10-lug
ALBICOCCO;Antonio Errani;-12;15-giu
ALBICOCCO;Ariel;-8;19-giu
ALBICOCCO;Aristo;20;17-lug
ALBICOCCO;Aurora;-42;16-mag
ALBICOCCO;Avirine;7;04-lug
ALBICOCCO;Azuma;5;02-lug
ALBICOCCO;Banzai;-30;28-mag
ALBICOCCO;Bella d'Imola;-6;21-giu
ALBICOCCO;Bergecot;38;04-ago
ALBICOCCO;Bergeron;15;12-lug
ALBICOCCO;Bergeval;-22;05-giu
ALBICOCCO;Big Red;-10;17-giu
ALBICOCCO;Boccuccia Liscia;15;12-lug
ALBICOCCO;Boccuccia Spinosa;16;13-lug
ALBICOCCO;Bolero;13;10-lug
ALBICOCCO;Bora;-17;10-giu
ALBICOCCO;Boreale;-5;22-giu
ALBICOCCO;Boucheran;38;04-ago
ALBICOCCO;Cafona;0;27-giu
ALBICOCCO;Calima;51;17-ago
ALBICOCCO;Candide;-5;22-giu
ALBICOCCO;Carmen Top;-20;07-giu
ALBICOCCO;Cebas 57;-35;23-mag
ALBICOCCO;Ceccona;-5;22-giu
ALBICOCCO;Cesar;-1;26-giu
ALBICOCCO;Cheyenne;-17;10-giu
ALBICOCCO;Cirano;-17;10-giu
ALBICOCCO;Cocot;-12;15-giu
ALBICOCCO;Colorado;-51;07-mag
ALBICOCCO;Compacta;28;25-lug
ALBICOCCO;Congat;33;30-lug
ALBICOCCO;Cora;-10;17-giu
ALBICOCCO;Delice Cot;-12;15-giu
ALBICOCCO;Diablo;43;09-ago
ALBICOCCO;Digat;7;04-lug
ALBICOCCO;Dulcinea;12;09-lug
ALBICOCCO;Early Kioto;-4;23-giu
ALBICOCCO;Fantasme;10;07-lug
ALBICOCCO;Faralia;12;09-lug
ALBICOCCO;Farbaly;28;25-lug
ALBICOCCO;Farbela;35;01-ago
ALBICOCCO;Farclo;55;21-ago
ALBICOCCO;Fardao;55;21-ago
ALBICOCCO;Farely;30;27-lug
ALBICOCCO;Farfia;50;16-ago
ALBICOCCO;Farhial;57;23-ago
ALBICOCCO;Farius;45;11-ago
ALBICOCCO;Farlis;57;23-ago
ALBICOCCO;Fartoli;35;01-ago
ALBICOCCO;Feria Cot;-37;21-mag
ALBICOCCO;Fiesta Cot;-21;06-giu
ALBICOCCO;Flash Cot;-20;07-giu
ALBICOCCO;Flavor Cot;2;29-giu
ALBICOCCO;Flodea;-47;11-mag
ALBICOCCO;Floneca;-32;26-mag
ALBICOCCO;Flopria;-25;02-giu
ALBICOCCO;Fracasso;6;03-lug
ALBICOCCO;Frisson;16;13-lug
ALBICOCCO;Fuego;-20;07-giu
ALBICOCCO;Garden;13;10-lug
ALBICOCCO;Gemma;-15;12-giu
ALBICOCCO;Giada;-12;15-giu
ALBICOCCO;Gilgat;-32;26-mag
ALBICOCCO;Giulia;-3;24-giu
ALBICOCCO;Goldbar;1;28-giu
ALBICOCCO;Goldrich;-8;19-giu
ALBICOCCO;Goldstrike;1;28-giu
ALBICOCCO;Harcot;-6;21-giu
ALBICOCCO;Hargrand;15;12-lug
ALBICOCCO;Harogem;-2;25-giu
ALBICOCCO;Harval;18;15-lug
ALBICOCCO;Helena du Roussillon;10;07-lug
ALBICOCCO;Holly Cot;-27;31-mag
ALBICOCCO;Ilona;-22;05-giu
ALBICOCCO;Ivonne Liverani;-4;23-giu
ALBICOCCO;Iziagat;-17;10-giu
ALBICOCCO;Jengat;-2;25-giu
ALBICOCCO;Kioto;1;28-giu
ALBICOCCO;Koolgat;-17;10-giu
ALBICOCCO;Kosmos;-43;15-mag
ALBICOCCO;Kuresia;28;25-lug
ALBICOCCO;Lady Cot;-1;26-giu
ALBICOCCO;LAR 2124-229;67;02-set
ALBICOCCO;LAR 2127-92;65;31-ago
ALBICOCCO;LAR 2139-72;72;07-set
ALBICOCCO;LAR 2164-11;53;19-ago
ALBICOCCO;Latica;-33;25-mag
ALBICOCCO;Laura;-1;26-giu
ALBICOCCO;Lido;-15;12-giu
ALBICOCCO;Lilly Cot;-18;09-giu
ALBICOCCO;Luna;-33;25-mag
ALBICOCCO;Madison;-52;06-mag
ALBICOCCO;Magic Cot;-29;29-mag
ALBICOCCO;Maharani;-6;21-giu
ALBICOCCO;Mambo;-45;13-mag
ALBICOCCO;Manga;-2;25-giu
ALBICOCCO;Margotina;-42;16-mag
ALBICOCCO;Marietta;13;10-lug
ALBICOCCO;Mayacot;-46;12-mag
ALBICOCCO;Medaga;-1;26-giu
ALBICOCCO;Medalis;-20;07-giu
ALBICOCCO;Medflo;-28;30-mag
ALBICOCCO;Mediabel;-4;23-giu
ALBICOCCO;Mediva;-6;21-giu
ALBICOCCO;Medoly;2;29-giu
ALBICOCCO;Megatea;-39;19-mag
ALBICOCCO;Mikado;-58;30-apr
ALBICOCCO;Milord;13;10-lug
ALBICOCCO;Mirlo Anaranjado;-25;02-giu
ALBICOCCO;Mistral;32;29-lug
ALBICOCCO;Mogador;-62;26-apr
ALBICOCCO;Monaco Bello;-8;19-giu
ALBICOCCO;Monster Cot;-17;10-giu
ALBICOCCO;Nelson;33;30-lug
ALBICOCCO;Nikko;-10;17-giu
ALBICOCCO;Ninfa;-26;01-giu
ALBICOCCO;Ninja;-12;15-giu
ALBICOCCO;Nirosa 1;-25;02-giu
ALBICOCCO;Nirosa 2;-23;04-giu
ALBICOCCO;Noemi;10;07-lug
ALBICOCCO;Orange Prima;-13;14-giu
ALBICOCCO;Orange Rubis;-14;13-giu
ALBICOCCO;Orange Summer;40;06-ago
ALBICOCCO;Orangered;-10;17-giu
ALBICOCCO;Palummella;13;10-lug
ALBICOCCO;Pellecchiella;22;19-lug
ALBICOCCO;Perla;-13;14-giu
ALBICOCCO;Perle Cot;-6;21-giu
ALBICOCCO;Petra;11;08-lug
ALBICOCCO;Piera;20;17-lug
ALBICOCCO;Pieve;6;03-lug
ALBICOCCO;Pinkcot;-16;11-giu
ALBICOCCO;Pisana;12;09-lug
ALBICOCCO;Playa Cot;8;05-lug
ALBICOCCO;Polanais;9;06-lug
ALBICOCCO;Portici;8;05-lug
ALBICOCCO;Priabel;-30;28-mag
ALBICOCCO;Pricia;-37;21-mag
ALBICOCCO;Primando;-35;23-mag
ALBICOCCO;Primarel;-22;05-giu
ALBICOCCO;Primarina;-34;24-mag
ALBICOCCO;Primaris;-34;24-mag
ALBICOCCO;Primassi;-32;26-mag
ALBICOCCO;Primaya;-14;13-giu
ALBICOCCO;Primidi;-30;28-mag
ALBICOCCO;Primius;-24;03-giu
ALBICOCCO;Raciville;-27;31-mag
ALBICOCCO;Rambo;-50;08-mag
ALBICOCCO;Ravilong;-22;05-giu
ALBICOCCO;Ravival;-17;10-giu
ALBICOCCO;Reale d'Imola;8;05-lug
ALBICOCCO;Robada;-8;19-giu
ALBICOCCO;Rouge du Roussillon;-12;15-giu
ALBICOCCO;Rougecot;-17;10-giu
ALBICOCCO;Rougemont;-1;26-giu
ALBICOCCO;Rougemont;5;02-lug
ALBICOCCO;Royal Roussilion;11;08-lug
ALBICOCCO;Rubely;12;09-lug
ALBICOCCO;Rubilis;2;29-giu
ALBICOCCO;Rubissia;7;04-lug
ALBICOCCO;Rubista;-24;03-giu
ALBICOCCO;S265-13;-16;11-giu
ALBICOCCO;Sabbatani;-12;15-giu
ALBICOCCO;Samourai;-20;07-giu
ALBICOCCO;San Castrese;0;27-giu
ALBICOCCO;Sandicot;3;30-giu
ALBICOCCO;Sayeb;-22;05-giu
ALBICOCCO;Sefora;-22;05-giu
ALBICOCCO;Select 98;13;10-lug
ALBICOCCO;SF 09078;-17;10-giu
ALBICOCCO;Sherpa;30;27-lug
ALBICOCCO;Sirocco;23;20-lug
ALBICOCCO;Smart Cot;-33;25-mag
ALBICOCCO;Solaria;-12;15-giu
ALBICOCCO;Soledane;-18;09-giu
ALBICOCCO;Spring Blush;-17;10-giu
ALBICOCCO;Stella;6;03-lug
ALBICOCCO;Sunny Cot;-16;11-giu
ALBICOCCO;Sushi;-54;04-mag
ALBICOCCO;Sweet Cot;-7;20-giu
ALBICOCCO;Sweet Red;-28;30-mag
ALBICOCCO;Swigold;12;09-lug
ALBICOCCO;Swired;6;03-lug
ALBICOCCO;Sylred;-20;07-giu
ALBICOCCO;Sylvercot;-16;11-giu
ALBICOCCO;Tardif de bordaneil;24;21-lug
ALBICOCCO;Tardif de tain;16;13-lug
ALBICOCCO;Tardirouge;13;10-lug
ALBICOCCO;Tom Cot;-6;21-giu
ALBICOCCO;Tonda di Costiglione;7;04-lug
ALBICOCCO;Tornado;-20;07-giu
ALBICOCCO;Torraviun;-27;31-mag
ALBICOCCO;Totem;-45;13-mag
ALBICOCCO;Tsunami;-38;20-mag
ALBICOCCO;Tyrinthos;-24;03-giu
ALBICOCCO;Valette;-37;21-mag
ALBICOCCO;Valorage;-10;17-giu
ALBICOCCO;Vertige;-2;25-giu
ALBICOCCO;Vinschger Marille;-12;15-giu
ALBICOCCO;Vitillo;-2;25-giu
ALBICOCCO;Wonder Cot;-37;21-mag
ALBICOCCO;Zebra;10;07-lug
ALBICOCCO;Zonda;13;10-lug
CILIEGIO;Adriana;11;31-mag
CILIEGIO;Aida;18;07-giu
CILIEGIO;Alex;34;23-giu
CILIEGIO;Amarena di Pesaro;-2;05-lug
CILIEGIO;Amarena di S. Colombano;-6;01-lug
CILIEGIO;Amarena Visciola Magli;-5;02-lug
CILIEGIO;Areko;40;29-giu
CILIEGIO;Badacsony;23;12-giu
CILIEGIO;Belge;27;16-giu
CILIEGIO;Bellise;12;01-giu
CILIEGIO;Big Lory;14;03-giu
CILIEGIO;Big Star;24;13-giu
CILIEGIO;Black Star;17;06-giu
CILIEGIO;Blaze Star;20;09-giu
CILIEGIO;Brooks;11;31-mag
CILIEGIO;Burlat;0;20-mag
CILIEGIO;Burlat C1;9;29-mag
CILIEGIO;Cambrina;25;14-giu
CILIEGIO;Canada Giant;17;06-giu
CILIEGIO;Carmen;10;30-mag
CILIEGIO;Cashmere;12;01-giu
CILIEGIO;Celeste;11;31-mag
CILIEGIO;Chelan;10;30-mag
CILIEGIO;Chieti sel.80;2;09-lug
CILIEGIO;Christiana;17;06-giu
CILIEGIO;Cigany Meggy 3;-10;27-giu
CILIEGIO;Cigany Meggy 59;-12;25-giu
CILIEGIO;Cigany Meggy 7;-7;30-giu
CILIEGIO;Corniola;41;30-giu
CILIEGIO;Crevalcore;4;11-lug
CILIEGIO;Crisana 11/2;-4;03-lug
CILIEGIO;Crisana 11/6;-5;02-lug
CILIEGIO;Crisana 14/10;-9;28-giu
CILIEGIO;Crisana 2/2;-6;01-lug
CILIEGIO;Cristalina;15;04-giu
CILIEGIO;Del Monte;11;31-mag
CILIEGIO;Della Recca;11;31-mag
CILIEGIO;Durone compatto di Vignola;28;17-giu
CILIEGIO;Durone dell'anella;12;01-giu
CILIEGIO;Durone Nero I;15;04-giu
CILIEGIO;Durone Nero II;27;16-giu
CILIEGIO;Durone Nero III;42;01-lug
CILIEGIO;Durone Tardivo di Valstaffora;36;25-giu
CILIEGIO;Early Bigi;-4;16-mag
CILIEGIO;Early Garnet;6;26-mag
CILIEGIO;Early Korvik;19;08-giu
CILIEGIO;Early Lory;-2;18-mag
CILIEGIO;Early Magyar;-6;14-mag
CILIEGIO;Early Star;5;25-mag
CILIEGIO;Early Van Compact;14;03-giu
CILIEGIO;Egri Furtos;-1;06-lug
CILIEGIO;Enrica;16;05-giu
CILIEGIO;Erdi Botermo;-17;20-giu
CILIEGIO;Erdi Nagygyulmolcsu;-27;10-giu
CILIEGIO;Favorit;-20;17-giu
CILIEGIO;Ferdiva;33;22-giu
CILIEGIO;Ferdouce;12;01-giu
CILIEGIO;Fermina;20;09-giu
CILIEGIO;Fernier;22;11-giu
CILIEGIO;Ferrovia;24;13-giu
CILIEGIO;Ferrovia spur;30;19-giu
CILIEGIO;Fertard;40;29-giu
CILIEGIO;Fertille;40;29-giu
CILIEGIO;Feu 5;10;30-mag
CILIEGIO;Firm Red;13;02-giu
CILIEGIO;Folfer;10;30-mag
CILIEGIO;Frisco;14;03-giu
CILIEGIO;Garnet;11;31-mag
CILIEGIO;Gege;20;09-giu
CILIEGIO;Germersdorfer;22;11-giu
CILIEGIO;Germersdorfi Orias 3;22;11-giu
CILIEGIO;Giant Red;10;30-mag
CILIEGIO;Giorgia;11;31-mag
CILIEGIO;Giulietta;18;07-giu
CILIEGIO;Grace Star;12;01-giu
CILIEGIO;Griotte de Montmopency;35;24-giu
CILIEGIO;Hartai Meggy;-3;04-lug
CILIEGIO;Hedelfinger;26;15-giu
CILIEGIO;Henriette;32;21-giu
CILIEGIO;Hertford;30;19-giu
CILIEGIO;Index;20;09-giu
CILIEGIO;Isabella;7;27-mag
CILIEGIO;Justyna;20;09-giu
CILIEGIO;Karina;15;04-giu
CILIEGIO;Kasandra;2;22-mag
CILIEGIO;Katalin;30;19-giu
CILIEGIO;Kaviks;25;14-giu
CILIEGIO;Kelleris;35;24-giu
CILIEGIO;Kordia;23;12-giu
CILIEGIO;Kossara;-10;10-mag
CILIEGIO;Lala Star;22;11-giu
CILIEGIO;Lambert;26;15-giu
CILIEGIO;Lapins;24;13-giu
CILIEGIO;Late Lory;38;27-giu
CILIEGIO;Linda;20;09-giu
CILIEGIO;Lory Bloom;7;27-mag
CILIEGIO;Lory Strong;14;03-giu
CILIEGIO;Lucrezia;23;12-giu
CILIEGIO;Malizia;12;01-giu
CILIEGIO;Malizia Falsa;7;27-mag
CILIEGIO;Marasca di Verona;-1;06-lug
CILIEGIO;Marascone;-4;03-lug
CILIEGIO;Marascone di Verona;-10;27-giu
CILIEGIO;Marascone Secondo;-2;05-lug
CILIEGIO;Marenone di S.Colombano;-2;05-lug
CILIEGIO;Margit;13;02-giu
CILIEGIO;Mari Timpuri;-12;25-giu
CILIEGIO;Mari Timpuri clone 11;-6;01-lug
CILIEGIO;Marysa;10;30-mag
CILIEGIO;Medit Lisa;18;07-giu
CILIEGIO;Merchant;-1;19-mag
CILIEGIO;Meteor;8;15-lug
CILIEGIO;Montmorency;0;07-lug
CILIEGIO;Mora della punta;18;07-giu
CILIEGIO;Mora di Cazzano;19;08-giu
CILIEGIO;Moreau;0;20-mag
CILIEGIO;Namare;23;12-giu
CILIEGIO;Napoleon;23;12-giu
CILIEGIO;Napoli clone 3;-2;05-lug
CILIEGIO;Narana;-10;10-mag
CILIEGIO;New Moon;15;04-giu
CILIEGIO;New Star;15;04-giu
CILIEGIO;Nimba;-5;15-mag
CILIEGIO;Noire de Meched;25;14-giu
CILIEGIO;Pandy 114;2;09-lug
CILIEGIO;Paulus;20;09-giu
CILIEGIO;Penny;2;22-mag
CILIEGIO;Poisdel;3;23-mag
CILIEGIO;Primulat;-6;14-mag
CILIEGIO;Rainier;17;06-giu
CILIEGIO;Red Pacific;5;25-mag
CILIEGIO;Redstone;5;25-mag
CILIEGIO;Regina;32;21-giu
CILIEGIO;Reverchon;17;06-giu
CILIEGIO;Rita;-8;12-mag
CILIEGIO;Rocket;5;25-mag
CILIEGIO;Rosie Rainier;10;30-mag
CILIEGIO;Royal Bailey;5;25-mag
CILIEGIO;Royal Edie;25;14-giu
CILIEGIO;Royal Hazel;5;25-mag
CILIEGIO;Royal Helen;25;14-giu
CILIEGIO;Royal Lynn;0;20-mag
CILIEGIO;Royal Tioga;-5;15-mag
CILIEGIO;Royalton;10;30-mag
CILIEGIO;Ruby;10;30-mag
CILIEGIO;Sabrina;7;27-mag
CILIEGIO;Samba;10;30-mag
CILIEGIO;Sandra Rose;20;09-giu
CILIEGIO;Santina;14;03-giu
CILIEGIO;Satin;18;07-giu
CILIEGIO;Schneiders Spate Knorpel;30;19-giu
CILIEGIO;Selah;26;15-giu
CILIEGIO;Simcoe;23;12-giu
CILIEGIO;Skeena;29;18-giu
CILIEGIO;SMS-280;-10;10-mag
CILIEGIO;Somerset;23;12-giu
CILIEGIO;Sonata;21;10-giu
CILIEGIO;SPC 342;22;11-giu
CILIEGIO;SPC106;24;13-giu
CILIEGIO;SPC136;21;10-giu
CILIEGIO;Starblush;19;08-giu
CILIEGIO;Stardust;24;13-giu
CILIEGIO;Starking Hardy Giant;14;03-giu
CILIEGIO;Starletta;27;16-giu
CILIEGIO;Sumbola;20;09-giu
CILIEGIO;Summer Charm;40;29-giu
CILIEGIO;Summit;20;09-giu
CILIEGIO;Sums313ch;16;05-giu
CILIEGIO;Sunburst;19;08-giu
CILIEGIO;Sweet Aryana;-3;17-mag
CILIEGIO;Sweet Dave;2;22-mag
CILIEGIO;Sweet Early;-3;17-mag
CILIEGIO;Sweet Gabriel;15;04-giu
CILIEGIO;Sweet Heart;34;23-giu
CILIEGIO;Sweet Lorenz;10;30-mag
CILIEGIO;Sweet Marysa;6;26-mag
CILIEGIO;Sweet Saretta;23;12-giu
CILIEGIO;Sweet Stephany;27;16-giu
CILIEGIO;Sweet Valina;19;08-giu
CILIEGIO;Sylvia;25;14-giu
CILIEGIO;Symphony;38;27-giu
CILIEGIO;Tamara;25;14-giu
CILIEGIO;Techlovan;26;15-giu
CILIEGIO;Tieton;12;01-giu
CILIEGIO;Van;17;06-giu
CILIEGIO;Vanda;15;04-giu
CILIEGIO;Vera;8;28-mag
CILIEGIO;Visciola;2;09-lug
CILIEGIO;Visciola del Ben 2;-1;06-lug
CILIEGIO;Visciola di Carpegna;2;09-lug
CILIEGIO;Visciola Nera di Vignola;-2;05-lug
KAKI;Aizumishirazu;0;30-set
KAKI;Atago;12;12-ott
KAKI;Chu-Nigiu Haci;-28;02-set
KAKI;Cioccolatino;-20;10-set
KAKI;Farmacista Honorati;15;15-ott
KAKI;Fuji;-3;27-set
KAKI;Fuyu;7;07-ott
KAKI;Hachiya;-3;27-set
KAKI;Hana Fuyo;-17;13-set
KAKI;Jiro;-3;27-set
KAKI;Kaki Tipo;0;30-set
KAKI;Maekawa Jiro;-3;27-set
KAKI;Mercatelli;10;10-ott
KAKI;O-Gosho;-3;27-set
KAKI;Ribera Sun;10;10-ott
KAKI;Rojo Brillante;12;12-ott
KAKI;Tone Wase;-7;23-set
KAKI;Triumph;25;25-ott
MELO;Ahrista;-15;26-ago
MELO;Akane;-40;01-ago
MELO;Alvina Gala;-30;11-ago
MELO;Ambrosia;5;15-set
MELO;Anise;-15;26-ago
MELO;Annaglo;-35;06-ago
MELO;Annurca;25;05-ott
MELO;Annurca Rossa del Sud;15;25-set
MELO;Apistar;0;10-set
MELO;Ariane;-5;05-set
MELO;Ariwa;7;17-set
MELO;Baujade;15;25-set
MELO;Belchard;20;30-set
MELO;Bielaar;-30;11-ago
MELO;Bonita;7;17-set
MELO;Braeburn;20;30-set
MELO;Braeburn;45;25-ott
MELO;Braeburn 78;20;30-set
MELO;Braeburn Rosabel;25;05-ott
MELO;Braesun;10;20-set
MELO;Brina;9;19-set
MELO;Brookfield Gala;-30;11-ago
MELO;Buckeye Gala;-25;16-ago
MELO;Cactus;5;15-set
MELO;Cameo;13;23-set
MELO;Catarina;20;30-set
MELO;Cavaal;-25;16-ago
MELO;Challenger;30;10-ott
MELO;Cherry gala;-36;05-ago
MELO;Choupette;3;13-set
MELO;CIVM49;-3;07-set
MELO;Civpeak;-15;26-ago
MELO;Civrd11;-5;05-set
MELO;Civt15;-25;16-ago
MELO;Collina;1;11-set
MELO;Cox la vera;-75;27-giu
MELO;Crimson Crisp;-8;02-set
MELO;Crimson Snow;30;10-ott
MELO;Cripp's Pink;30;10-ott
MELO;Cripps Red Brisset;50;30-ott
MELO;Da Rosa;0;10-set
MELO;Delbard Gala;-25;16-ago
MELO;Delicia;-30;11-ago
MELO;Devil Gala;-35;06-ago
MELO;Diwa;5;15-set
MELO;Dragon Fuji F12;30;10-ott
MELO;Early Crunch;-35;06-ago
MELO;Early queen;-20;21-ago
MELO;Early Red Gala;-35;06-ago
MELO;Early Red One;-7;03-set
MELO;Elstar Elshof;-25;16-ago
MELO;Elstar PCP;-30;11-ago
MELO;Elstar Zweeren Elrosa;-25;16-ago
MELO;Envy;20;30-set
MELO;Escande 15;25;05-ott
MELO;Eve Braeburn;15;25-set
MELO;Evelina;10;20-set
MELO;Evereste;5;15-set
MELO;Excellent star;-20;21-ago
MELO;Fengapi;5;15-set
MELO;Florina;10;20-set
MELO;Forlady;20;30-set
MELO;Fresco;2;12-set
MELO;Fuciv51;27;07-ott
MELO;Fuji 1-1-1;-5;05-set
MELO;Fuji 6578;35;15-ott
MELO;Fuji Fukan;28;08-ott
MELO;Fuji Kiku;25;05-ott
MELO;Fuji Kiku 8;20;30-set
MELO;Fuji KO-CIV;25;05-ott
MELO;Fuji Phoenix;23;03-ott
MELO;Fuji raku raku;11;21-set
MELO;Fuji Type 4;30;10-ott
MELO;Fujijama;-14;27-ago
MELO;Fujiko;25;05-ott
MELO;Fujion;17;27-set
MELO;Gaia;-23;18-ago
MELO;Gala 2013;-40;01-ago
MELO;Gala Dark Ann;-27;14-ago
MELO;Gala Decarli;-30;11-ago
MELO;Gala Fenplus;-20;21-ago
MELO;Gala Fenshine;-20;21-ago
MELO;Gala Fensoon;-37;04-ago
MELO;Gala Fenstripe;-38;03-ago
MELO;Gala Fenzem1;-35;06-ago
MELO;Gala mema;-25;16-ago
MELO;Gala Must;-23;18-ago
MELO;Gala Norge;-25;16-ago
MELO;Gala One;-38;03-ago
MELO;Gala Perathoner;-30;11-ago
MELO;Gala Pomredrobust;-15;26-ago
MELO;Gala Schniga;-35;06-ago
MELO;Gala Schniga;-20;21-ago
MELO;Gala Schnitzer;-31;10-ago
MELO;Gala Star;-30;11-ago
MELO;Gala Venus;-30;11-ago
MELO;Gala Vill;-35;06-ago
MELO;Galant;0;10-set
MELO;Galant Tells;3;13-set
MELO;Galaval;-15;26-ago
MELO;Galaxy;-25;16-ago
MELO;Galaxy;-25;16-ago
MELO;Galmac;-45;27-lug
MELO;Gemini;-17;24-ago
MELO;Gerlinde;-25;16-ago
MELO;Ginover;15;25-set
MELO;Gold Chief;10;20-set
MELO;Golden 1895;-5;05-set
MELO;Golden 527;5;15-set
MELO;Golden cl. B LB;5;15-set
MELO;Golden Del. cl. Reinders;2;12-set
MELO;Golden Del. cl. Smoothee;5;15-set
MELO;Golden Delicious cl. B;0;10-set
MELO;Golden Orange;20;30-set
MELO;Golden Ruggine;5;15-set
MELO;Goldrosio;0;10-set
MELO;Goldrush;25;05-ott
MELO;Granny Smith;30;10-ott
MELO;Greenstar;20;30-set
MELO;Hapke delicious;-7;03-set
MELO;Harmonie;3;13-set
MELO;Hi-Early;-5;05-set
MELO;Hilwell;20;30-set
MELO;Idared;10;20-set
MELO;Imperatore (Morgenduft);25;05-ott
MELO;Imperatore Dallago;20;30-set
MELO;Inogo;10;20-set
MELO;Ipador;20;30-set
MELO;Isaaq;-18;23-ago
MELO;Jazz;25;05-ott
MELO;Jeromine;-8;02-set
MELO;Joburn;10;20-set
MELO;Jonagold;5;15-set
MELO;Jonagold King Select;9;19-set
MELO;Juliet;30;10-ott
MELO;Kanzi;0;10-set
MELO;Karneval;15;25-set
MELO;King;18;28-set
MELO;King Fuji;15;25-set
MELO;King Roat;5;15-set
MELO;Ladina;16;26-set
MELO;Lancelot;0;10-set
MELO;Limoncella;-5;05-set
MELO;Lochbuie red braeburn;5;15-set
MELO;Luiza;-25;16-ago
MELO;M1009;35;15-ott
MELO;Mairac;-3;07-set
MELO;Mandy;2;12-set
MELO;Mariella;45;25-ott
MELO;Mars;16;26-set
MELO;Mela Rosa Marchigiana;15;25-set
MELO;Mema Gala-16357;-25;16-ago
MELO;Merkur;-15;26-ago
MELO;Merlin;5;15-set
MELO;Milenga;-24;17-ago
MELO;Modì;-7;03-set
MELO;Mondial gala;-30;11-ago
MELO;Mountain Cove;-49;23-lug
MELO;Najdared;-20;21-ago
MELO;Natyra;10;20-set
MELO;Neipling Early Stayman;5;15-set
MELO;Nero Red Rome;30;10-ott
MELO;Nova;-11;30-ago
MELO;Opal;3;13-set
MELO;Pikkolo;0;10-set
MELO;Pilot;-15;26-ago
MELO;Pirol;5;15-set
MELO;Piros;-45;27-lug
MELO;Pirouette;-20;21-ago
MELO;Pixie crunch;-15;26-ago
MELO;Prime Red;-30;11-ago
MELO;Primiera;5;15-set
MELO;Pristine;-60;12-lug
MELO;Reanda;5;15-set
MELO;Rebella;10;20-set
MELO;Red Cap;-11;30-ago
MELO;Red Chief;-10;31-ago
MELO;Red Del. Mema;5;15-set
MELO;Red Del. Scarlet;-10;31-ago
MELO;Red Delicious;-10;31-ago
MELO;Red Elstar;-20;21-ago
MELO;Red Elswout;-8;02-set
MELO;Red Free;-55;17-lug
MELO;Red topaz;0;10-set
MELO;Red winter;14;24-set
MELO;Redlove;-30;11-ago
MELO;Regalyou;15;25-set
MELO;Reglindis;-10;31-ago
MELO;Reinette Grise du Canada;15;25-set
MELO;Relinda;30;10-ott
MELO;Remo;0;10-set
MELO;Renetta del canada;-15;26-ago
MELO;Renoir;-15;26-ago
MELO;Retina;-15;26-ago
MELO;Rewena;-15;26-ago
MELO;Rhapsodie;5;15-set
MELO;Roat;-5;05-set
MELO;Rondo;10;20-set
MELO;Rosette;-30;11-ago
MELO;Rosy Glow;35;15-ott
MELO;Roter Holsteiner;-1;09-set
MELO;Royal Beaut;-30;11-ago
MELO;Royal Braeburn;7;17-set
MELO;Rubelit;7;17-set
MELO;Rubens;-20;21-ago
MELO;Rubens;-17;24-ago
MELO;Rubinette Rosso;-27;14-ago
MELO;Rubinfuji;10;20-set
MELO;Rubinfuji;35;15-ott
MELO;Ruby Gala;-35;06-ago
MELO;Sampion;-22;19-ago
MELO;Sansa;-45;27-lug
MELO;Santana;-25;16-ago
MELO;Sapora;25;05-ott
MELO;Simirenko;35;15-ott
MELO;Sirius;15;25-set
MELO;Smeralda;5;15-set
MELO;Smothee;20;30-set
MELO;Solaris;30;10-ott
MELO;Sonate;-10;31-ago
MELO;Stark Gugger;-5;05-set
MELO;Staymanred;20;30-set
MELO;Story;10;20-set
MELO;Summerfree;-35;06-ago
MELO;Summerred;-45;27-lug
MELO;Super Chief;-7;03-set
MELO;Super Compact James Grieve;-15;26-ago
MELO;Superstayman;10;20-set
MELO;Sweet Stone;12;22-set
MELO;SweeTango;-44;28-lug
MELO;Swing;30;10-ott
MELO;Tentation;5;15-set
MELO;Topaz;-5;05-set
MELO;Tramin;-30;11-ago
MELO;Venice;10;20-set
MELO;Washington spur;0;10-set
MELO;Wilton's Star;5;15-set
MELO;Zad1;-15;26-ago
