UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
215302;ES Alyssa;ES Alyssa;HLNTS_ANN;Surrendered;No;;N;;;;27/03/2006;1171
215303;ES Amaryllis CLP;ES Amaryllis CLP;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;1171
215304;ES Amazon;ES Amazon;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;1171
215306;ES Amis;ES Amis;HLNTS_ANN;Surrendered;No;;N;;;;14/04/2011;1171
215309;ES Angelina;ES Angelina;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2018;1171
215310;ES Anthemis CLP;ES Anthemis CLP;HLNTS_ANN;Registered;No;;N;;;;05/02/2019;1171
215311;ES Aramis;ES Aramis;HLNTS_ANN;Registered;No;;N;;;;18/03/2010;1171
215312;ES Arcadia;ES Arcadia;HLNTS_ANN;Registered;Yes;;N;;;;16/05/2014;1171
215315;ES Armonica;ES Armonica;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2018;1171
215317;ES Artic;ES Artic;HLNTS_ANN;Registered;No;;N;;;;18/03/2010;1171
215320;ES Asteric;ES Asteric;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215321;ES Atlantic;ES Atlantic;HLNTS_ANN;Surrendered;No;;N;;;;12/04/2011;1171
215323;ES Aurelia;ES Aurelia;HLNTS_ANN;Registered;No;;N;;;;22/03/2007;1171
215324;ES Authentic;ES Authentic;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215325;ES Averon SU;ES Averon SU;HLNTS_ANN;Registered;No;;N;;;;05/02/2021;1171
215329;ES Baghera;ES Baghera;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;1171
215331;ES Balistic CL;ES Balistic CL;HLNTS_ANN;Registered;No;;N;;;;06/05/2009;1171
215333;ES Basilic;ES Basilic;HLNTS_ANN;Surrendered;Yes;;N;;;;06/05/2009;1171
215334;ES Bayano;ES Bayano;HLNTS_ANN;Surrendered;No;;N;;;;07/04/2008;1171
215335;ES Belfis;ES Belfis;HLNTS_ANN;Registered;No;;N;;;;05/02/2019;1171
215339;ES Berlic;ES Berlic;HLNTS_ANN;Surrendered;Yes;;N;;;;18/03/2010;1171
215344;ES Brandy;ES Brandy;HLNTS_ANN;Surrendered;Yes;;N;;;;22/03/2007;1171
215348;ES Carneval;ES Carneval;HLNTS_ANN;Surrendered;Yes;;N;;;;06/05/2009;1171
215349;ES Ceylon SU;ES Ceylon SU;HLNTS_ANN;Registered;No;;N;;;;25/01/2022;1171
215350;ES Chromatic;ES Chromatic;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;1171
215351;ES Cinetic;ES Cinetic;HLNTS_ANN;Registered;Yes;;N;;;;02/02/2017;1171
215355;ES Copernic;ES Copernic;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215356;ES Cosmic;ES Cosmic;HLNTS_ANN;Surrendered;Yes;;N;;;;06/05/2009;1171
215359;ES Danimis CL;ES Danimis CL;HLNTS_ANN;Surrendered;Yes;;N;;;;18/03/2010;1171
215360;ES Darinis CLP;ES Darinis CLP;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215362;ES Diagora;ES Diagora;HLNTS_ANN;Surrendered;Yes;;N;;;;06/05/2009;1171
215363;ES Donatela;ES Donatela;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215364;ES Electra;ES Electra;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215365;ES Electric CLP;ES Electric CLP;HLNTS_ANN;Registered;No;;N;;;;02/02/2017;1171
215366;ES Ellenis;ES Ellenis;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215367;ES Emeric;ES Emeric;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215370;ES Epic;ES Epic;HLNTS_ANN;Registered;No;;N;;;;04/02/2020;1171
215371;ES Erika;ES Erika;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215372;ES Estetic;ES Estetic;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;1171
215376;ES Florimis;ES Florimis;HLNTS_ANN;Registered;No;;N;;;;07/04/2008;1171
215377;ES Fluoric;ES Fluoric;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;1171
215378;ES Futuric;ES Futuric;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215379;ES Galactic;ES Galactic;HLNTS_ANN;Surrendered;No;;N;;;;07/04/2008;1171
215381;ES Gama;ES Gama;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215387;ES Hera;ES Hera;HLNTS_ANN;Surrendered;No;;N;;;;18/03/2010;1171
215388;ES Historic CLP;ES Historic CLP;HLNTS_ANN;Registered;No;;N;;;;01/03/2016;1171
215389;ES Hudson SU;ES Hudson SU;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215390;ES Idillic;ES Idillic;HLNTS_ANN;Registered;No;;N;;;;01/05/2015;1171
215392;ES Ina;ES Ina;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1171
215393;ES Isabella;ES Isabella;HLNTS_ANN;Surrendered;No;;N;;;;14/03/2005;
215397;ES Joystic;ES Joystic;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215399;ES Kalimis CL;ES Kalimis CL;HLNTS_ANN;Surrendered;Yes;;N;;;;18/03/2010;1171
215401;ES Karamba;ES Karamba;HLNTS_ANN;Registered;No;;N;;;;14/03/2005;1171
215403;ES Kensa;ES Kensa;HLNTS_ANN;Surrendered;Yes;;N;;;;14/03/2005;1171
215404;ES Kornelka;ES Kornelka;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1171
215405;ES Lena;ES Lena;HLNTS_ANN;Registered;No;;N;;;;05/02/2021;1171
215407;ES Leopolis CL;ES Leopolis CL;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;1171
215409;ES Libra;ES Libra;HLNTS_ANN;Surrendered;No;;N;;;;16/06/2012;1171
215410;ES Logic;ES Logic;HLNTS_ANN;Surrendered;Yes;;N;;;;09/05/2012;1171
215411;ES Lolita;ES Lolita;HLNTS_ANN;Surrendered;No;;N;;;;14/03/2005;
215413;ES Loris CLP;ES Loris CLP;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;1171
215414;ES Ludic;ES Ludic;HLNTS_ANN;Registered;No;;N;;;;04/02/2020;1171
215418;ES Maestra;ES Maestra;HLNTS_ANN;Surrendered;Yes;;N;;;;18/03/2010;1171
215420;ES Magnolia;ES Magnolia;HLNTS_ANN;Surrendered;No;;N;;;;22/10/2004;422
215421;ES Majestic;ES Majestic;HLNTS_ANN;Surrendered;No;;N;;;;07/04/2008;1171
215422;ES Majoris CLP;ES Majoris CLP;HLNTS_ANN;Registered;Yes;;N;;;;02/02/2017;1171
215423;ES Matic SU;ES Matic SU;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1171
215425;ES Megapolis CLP;ES Megapolis CLP;HLNTS_ANN;Registered;No;;N;;;;05/02/2021;1171
215426;ES Melanic;ES Melanic;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;1171
215427;ES Mika;ES Mika;HLNTS_ANN;Surrendered;Yes;;N;;;;17/03/2004;468
215430;ES Mobidic;ES Mobidic;HLNTS_ANN;Registered;No;;N;;;;04/02/2018;1171
215438;ES Newton;ES Newton;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;1171
215442;ES Oasis CLP;ES Oasis CLP;HLNTS_ANN;Registered;No;;N;;;;04/02/2020;1171
215447;ES Oriental;ES Oriental;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;1171
215456;ES Perla;ES Perla;HLNTS_ANN;Registered;Yes;;N;;;;12/04/2011;1171
215458;ES Petunia;ES Petunia;HLNTS_ANN;Registered;Yes;;N;;;;27/03/2006;1171
215462;ES Primis;ES Primis;HLNTS_ANN;Surrendered;No;;N;;;;07/04/2008;1171
215463;ES Progba;ES Progba;HLNTS_ANN;Surrendered;No;;N;;;;06/05/2009;1171
215464;ES Proxima;ES Proxima;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215466;ES Regata;ES Regata;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;1171
215468;ES Romantic;ES Romantic;HLNTS_ANN;Registered;No;;N;;;;01/05/2015;1171
215469;ES Rosa;ES Rosa;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215471;ES Rosis CL;ES Rosis CL;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215472;ES Royal;ES Royal;HLNTS_ANN;Registered;No;;N;;;;27/03/2006;1171
215473;ES Sakura;ES Sakura;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215475;ES Selenic CLP;ES Selenic CLP;HLNTS_ANN;Registered;No;;N;;;;02/02/2017;1171
215476;ES Serenada;ES Serenada;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2018;1171
215481;ES Sismic;ES Sismic;HLNTS_ANN;Surrendered;Yes;;N;;;;16/06/2012;1171
215484;ES Solis CLP;ES Solis CLP;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;1171
215485;ES Starbella;;HLNTS_ANN;Surrendered;No;;N;;;;16/06/2012;1171
215489;ES Symbolic;ES Symbolic;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215492;ES Taktic;ES Taktic;HLNTS_ANN;Surrendered;No;;N;;;;18/03/2010;1171
215493;ES Tanais CLP;ES Tanais CLP;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215494;ES Tektonic CL;ES Tektonic CL;HLNTS_ANN;Registered;Yes;;N;;;;18/03/2010;1171
215499;ES Tocata;ES Tocata;HLNTS_ANN;Surrendered;No;;N;;;;27/03/2006;1171
215501;ES Topic;ES Topic;HLNTS_ANN;Registered;Yes;;N;;;;18/03/2010;1171
215505;ES Unic;ES Unic;HLNTS_ANN;Surrendered;Yes;;N;;;;14/04/2011;1171
215506;ES Urbana;ES Urbana;HLNTS_ANN;Registered;Yes;;N;;;;02/02/2017;1171
215508;ES Venicia;ES Venicia;HLNTS_ANN;Surrendered;No;;N;;;;07/04/2008;1171
215509;ES Venturis CLP;ES Venturis CLP;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;1171
215511;ES Veronika;ES Veronika;HLNTS_ANN;Registered;No;;N;;;;01/03/2016;1171
215513;ES Volantis CLP;ES Volantis CLP;HLNTS_ANN;Registered;No;;N;;;;02/02/2017;1171
215514;ES Whisky;ES Whisky;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1171
215518;ES Yasminis CLP;ES Yasminis CLP;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215519;ES Zalema;ES Zalema;HLNTS_ANN;Surrendered;No;;N;;;;27/03/2006;1171
215520;ES Zancara;ES Zancara;HLNTS_ANN;Surrendered;Yes;;N;;;;22/03/2007;1171
215526;Eclador;Eclador;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215528;Edic;Edic;HLNTS_ANN;Registered;Yes;;N;;;;22/04/2017;110
215529;Egal;Egal;HLNTS_ANN;Registered;Yes;;N;;;;12/09/2005;417
215531;Ekllor;Ekllor;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1125
215532;El Dorado;El Dorado;HLNTS_ANN;Surrendered;Yes;;N;;;;27/03/2002;426
215536;Eliogen;Eliogen;HLNTS_ANN;Registered;Yes;;N;;;;21/01/2008;110
215543;Elton;Elton;HLNTS_ANN;Surrendered;Yes;;N;;;;18/03/2010;1251
215547;Emek 5;Emek 5;HLNTS_ANN;Registered;Yes;;N;;;;02/04/2018;1494
215549;Emil;Emil;HLNTS_ANN;Surrendered;No;;N;;;;;681
215550;Emilio;Emilio;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;422
215552;Emporio;Emporio;HLNTS_ANN;Surrendered;No;;N;;;;;373
215555;Enduro;Enduro;HLNTS_ANN;Surrendered;Yes;;N;;;;07/04/2008;
215556;Energic RMO;Energic RMO;HLNTS_ANN;Surrendered;Yes;;N;;;;30/10/2002;369
215560;Erem;Erem;HLNTS_ANN;Surrendered;Yes;;N;;;;20/03/2003;468
215563;Espanil;Espanil;HLNTS_ANN;Surrendered;No;;N;;;;17/12/1999;681
215565;Esperia;Esperia;HLNTS_ANN;Surrendered;Yes;;N;;;;;15
215568;Etna CS;Etna CS;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;345
215569;Etylo;Etylo;HLNTS_ANN;Registered;Yes;;N;;;;18/03/2010;426
215571;Eureka;Eureka;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215572;Eurodor;Eurodor;HLNTS_ANN;Surrendered;Yes;;N;;;;17/03/2004;350
215574;Europa CLP;Europa CLP;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;345
215576;Evan;Evan;HLNTS_ANN;Registered;Yes;;N;;;;03/06/2021;1125
215579;Evolia CS;Evolia CS;HLNTS_ANN;Surrendered;Yes;;N;;;;22/03/2007;345
215580;Evora;Evora;HLNTS_ANN;Surrendered;Yes;;N;;;;27/04/2013;2058
215582;Exotic;Exotic;HLNTS_ANN;Surrendered;No;;N;;;;14/03/2005;368
215583;Expllor;Expllor;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1125
215601;Fabulo CLP;Fabulo CLP;HLNTS_ANN;Registered;No;;N;;;;01/05/2015;370
215602;Facto;Facto;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;422
215607;Falbala CL;Falbala CL;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2018;345
215609;Fandango;Fandango;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;334
215611;Fantastic;Fantastic;HLNTS_ANN;Surrendered;Yes;;N;;;;17/03/2004;468
215612;Farandol;Farandol;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215614;Faro;Faro;HLNTS_ANN;Surrendered;Yes;;N;;;;;339
215615;Fast;Fast;HLNTS_ANN;Surrendered;Yes;;N;;;;;159
215616;Fausto ST;Fausto ST;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;2059
215618;Felicia CS;Felicia CS;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;345
215622;Fidelio;Fidelio;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;422
215625;Fiesta CLP;Fiesta CLP;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2020;345
215627;Filladelfia;Filladelfia;HLNTS_ANN;Registered;Yes;;N;;;;25/01/2022;1125
215633;Flash;Flash;HLNTS_ANN;Surrendered;Yes;;N;;;;;159
215640;Flexisol CL;Flexisol CL;HLNTS_ANN;Surrendered;Yes;;N;;;;26/02/2010;1164
215641;Flipper;Flipper;HLNTS_ANN;Surrendered;Yes;;N;;;;;726
215651;Florelo;Florelo;HLNTS_ANN;Surrendered;Yes;;N;;;;;368
215659;Floriente CL;Floriente CL;HLNTS_ANN;Surrendered;Yes;;N;;;;17/01/2017;370
215661;Florina;Florina;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;
215665;Florom 305;Florom 305;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215666;Florom 350;Florom 350;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215671;Fontana;Fontana;HLNTS_ANN;Surrendered;No;;N;;;;17/12/1999;166
215672;Fortal;Fortal;HLNTS_ANN;Surrendered;Yes;;N;;;;12/09/2005;436
215673;Forte;Forte;HLNTS_ANN;Surrendered;Yes;;N;;;;26/02/2010;1164
215674;Forte PR;Forte PR;HLNTS_ANN;Surrendered;Yes;;N;;;;26/02/2010;1164
215677;Fortune;Fortune;HLNTS_ANN;Registered;Yes;;N;;;;27/03/2006;1243
215679;Fox;Fox;HLNTS_ANN;Surrendered;No;;N;;;;;
215680;Foxtrot;Foxtrot;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;334
215681;Fractal;Fractal;HLNTS_ANN;Surrendered;Yes;;N;;;;12/09/2005;417
215682;Francesca;Francesca;HLNTS_ANN;Registered;Yes;;N;;;;25/01/2022;426
215683;Francil;Francil;HLNTS_ANN;Surrendered;No;;N;;;;;681
215686;Freya;Freya;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;2057
215687;Friuli;Friuli;HLNTS_ANN;Surrendered;Yes;;N;;;;16/10/2001;910
215688;Frontier;Frontier;HLNTS_ANN;Registered;Yes;;N;;;;17/12/1999;000
215691;Fuego;Fuego;HLNTS_ANN;Surrendered;No;;N;;;;;352
215692;Fuji;Fuji;HLNTS_ANN;Surrendered;Yes;;N;;;;18/02/2002;823
215693;Fulgor;Fulgor;HLNTS_ANN;Surrendered;Yes;;N;;;;;750
215697;Furano;Furano;HLNTS_ANN;Surrendered;Yes;;N;;;;07/04/2008;426
215698;Furious CL;Furious CL;HLNTS_ANN;Registered;Yes;;N;;;;02/02/2017;370
215722;GW4076;GW4076;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;813
215728;Gabriela CS;Gabriela CS;HLNTS_ANN;Registered;Yes;;N;;;;16/05/2014;345
215731;Galdo;Galdo;HLNTS_ANN;Surrendered;Yes;;N;;;;;423
215733;Galileo;Galileo;HLNTS_ANN;Surrendered;Yes;;N;;;;;334
215738;Gamma;Gamma;HLNTS_ANN;Surrendered;Yes;;N;;;;;15
215740;Gardone;Gardone;HLNTS_ANN;Registered;Yes;;N;;;;30/03/2001;1072
215743;Gemmakalb-DK4005;Gemmakalb-DK4005;HLNTS_ANN;Surrendered;Yes;;N;;;;30/10/2002;469
215744;Genova CL;Genova CL;HLNTS_ANN;Registered;Yes;;N;;;;01/08/2015;345
215746;Geokalb-DK3893;Geokalb-DK3893;HLNTS_ANN;Surrendered;Yes;;N;;;;30/10/2002;469
215750;German;German;HLNTS_ANN;Surrendered;Yes;;N;;;;;334
215751;Germinal;Germinal;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;369
215752;Gery;Gery;HLNTS_ANN;Registered;Yes;;N;;;;06/08/2014;631
215753;Gilda;Gilda;HLNTS_ANN;Surrendered;Yes;;N;;;;16/05/2014;370
215756;Ginko;Ginko;HLNTS_ANN;Surrendered;Yes;;N;;;;;334
215757;Gioiakalb;Gioiakalb;HLNTS_ANN;Surrendered;Yes;;N;;;;23/12/2002;469
215759;Giral;Giral;HLNTS_ANN;Surrendered;Yes;;N;;;;12/04/2011;1251
215762;Giulia;Giulia;HLNTS_ANN;Surrendered;Yes;;N;;;;;743
215765;Global;Global;HLNTS_ANN;Surrendered;No;;N;;;;18/03/2010;1251
215775;Gonzalo ST;Gonzalo ST;HLNTS_ANN;Registered;Yes;;N;;;;29/03/2022;2058
215776;Gorrion;Gorrion;HLNTS_ANN;Surrendered;Yes;;N;;;;15/07/2000;373
215777;Graal;Graal;HLNTS_ANN;Surrendered;Yes;;N;;;;12/03/2007;417
215778;Granada;Granada;HLNTS_ANN;Surrendered;Yes;;N;;;;;334
215779;Granador;Granador;HLNTS_ANN;Surrendered;Yes;;N;;;;;176
215780;Granero;Granero;HLNTS_ANN;Surrendered;Yes;;N;;;;07/04/2008;
215781;Grankalb-DK 3868;Grankalb-DK 3868;HLNTS_ANN;Surrendered;Yes;;N;;;;29/10/2002;469
215784;Grasoli;Grasoli;HLNTS_ANN;Registered;Yes;;N;;;;31/03/2000;332
215785;Greco;Greco;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;350
215787;Greta;Greta;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;2057
215790;Guepar;Guepar;HLNTS_ANN;Surrendered;Yes;;N;;;;;373
215799;HS03 rev;HS03 rev;HLNTS_ANN;Surrendered;Yes;;N;;;;01/03/2012;
215802;Hagen;Hagen;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;426
215806;Hazar;Hazar;HLNTS_ANN;Surrendered;Yes;;N;;;;14/03/2005;1171
215807;Hector;Hector;HLNTS_ANN;Surrendered;Yes;;N;;;;;334
215810;Heliabest;Heliabest;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1125
215815;Heliagol SF;Heliagol SF;HLNTS_ANN;Surrendered;Yes;;N;;;;17/03/2004;436
215817;Heliaking;Heliaking;HLNTS_ANN;Surrendered;Yes;;N;;;;26/08/2002;436
215821;Heliaplus;Heliaplus;HLNTS_ANN;Surrendered;Yes;;N;;;;27/04/2013;2058
215823;Heliascor;Heliascor;HLNTS_ANN;Surrendered;Yes;;N;;;;14/03/2005;463
215835;Hermes;Hermes;HLNTS_ANN;Surrendered;Yes;;N;;;;20/03/2003;1158
215838;Hilma;Hilma;HLNTS_ANN;Surrendered;No;;N;;;;;176
215843;Hispana;Hispana;HLNTS_ANN;Registered;Yes;;N;;;;06/05/2009;1231
215844;Hispanic;Hispanic;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;373
215845;Hisseo;Hisseo;HLNTS_ANN;Surrendered;Yes;;N;;;;27/05/2006;436
215847;Holeni;Holeni;HLNTS_ANN;Registered;Yes;;N;;;;04/02/2018;1125
215850;Honorat;Honorat;HLNTS_ANN;Surrendered;Yes;;N;;;;01/03/2016;1125
215851;Hook;Hook;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1125
215852;Hornet;Hornet;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;2070
215853;Horus;Horus;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215854;Houat;Houat;HLNTS_ANN;Registered;Yes;;N;;;;25/01/2022;1125
215856;Hugo;Hugo;HLNTS_ANN;Surrendered;Yes;;N;;;;24/01/2006;1263
215870;Hysun 217;Hysun 217;HLNTS_ANN;Registered;Yes;;N;;;;16/05/2018;1396
215877;Hysun 254;Hysun 254;HLNTS_ANN;Registered;Yes;;N;;;;16/05/2018;1396
215895;Hysun 426 HO;Hysun 426 HO;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2019;1396
215897;Hysun 45;Hysun 45;HLNTS_ANN;Surrendered;Yes;;N;;;;;902
215900;Héliasol RO;Héliasol RO;HLNTS_ANN;Surrendered;No;;N;;;;28/09/2007;
215913;Iberis;Iberis;HLNTS_ANN;Surrendered;Yes;;N;;;;23/12/2002;469
215916;Ibisol;Ibisol;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215918;Icaro;Icaro;HLNTS_ANN;Surrendered;Yes;;N;;;;;368
215920;Idolo;Idolo;HLNTS_ANN;Surrendered;Yes;;N;;;;31/03/2000;334
215922;Ilarkalb-DK 3892;Ilarkalb-DK 3892;HLNTS_ANN;Surrendered;Yes;;N;;;;29/10/2002;469
215924;Imeria CS;Imeria CS;HLNTS_ANN;Surrendered;No;;N;;;;06/07/2009;345
215926;Imigen;Imigen;HLNTS_ANN;Registered;Yes;;N;;;;21/01/2008;110
215932;Imperial;Imperial;HLNTS_ANN;Surrendered;Yes;;N;;;;27/04/2013;2058
215934;Imperiozo;Imperiozo;HLNTS_ANN;Surrendered;Yes;;N;;;;04/02/2020;1125
215936;InSun 233 CLP;InSun 233 CLP;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;1171
215944;Indiko;Indiko;HLNTS_ANN;Surrendered;Yes;;N;;;;17/12/1999;334
215945;Indra;Indra;HLNTS_ANN;Surrendered;No;;N;;;;27/03/2006;365
215947;Inesol;Inesol;HLNTS_ANN;Registered;Yes;;N;;;;01/05/2015;2053
215949;Infinity;Infinity;HLNTS_ANN;Registered;Yes;;N;;;;01/03/2016;474
215951;Initia;Initia;HLNTS_ANN;Surrendered;Yes;;N;;;;17/03/2004;436
215956;Inostarck;Inostarck;HLNTS_ANN;Registered;No;;N;;;;12/04/2011;000
215957;Inotop;Inotop;HLNTS_ANN;Registered;Yes;;N;;;;18/03/2010;000
215966;Intense;Intense;HLNTS_ANN;Surrendered;No;;N;;;;17/03/2004;365
215971;Iolline;Iolline;HLNTS_ANN;Surrendered;No;;N;;;;22/03/2007;1125
215972;Iollna;Iollna;HLNTS_ANN;Registered;No;;N;;;;07/04/2008;1125
215973;Irana;Irana;HLNTS_ANN;Surrendered;Yes;;N;;;;27/03/2006;
215974;Iranapipa;Iranapipa;HLNTS_ANN;Registered;Yes;;N;;;;27/08/2007;456
215977;Irena;Irena;HLNTS_ANN;Surrendered;Yes;;N;;;;;166
215979;Iris;Iris;HLNTS_ANN;Surrendered;Yes;;N;;;;;166
215982;Iron;Iron;HLNTS_ANN;Surrendered;Yes;;N;;;;;373
215983;Isa;Isa;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215984;Isabel;Isabel;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215985;Isambra;Isambra;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215986;Isamir;Isamir;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215987;Isandro;Isandro;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215989;Isar;Isar;HLNTS_ANN;Surrendered;No;;N;;;;;
215991;Isardo;Isardo;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215994;Isidor;Isidor;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215996;Island;Island;HLNTS_ANN;Surrendered;Yes;;N;;;;;
215999;Ismus;Ismus;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216002;Isodur;Isodur;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216003;Isofort;Isofort;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216004;Isogone;Isogone;HLNTS_ANN;Surrendered;Yes;;N;;;;;571
216005;Isola;Isola;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216006;Isolde;Isolde;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216007;Isoleic;Isoleic;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216008;Isomil;Isomil;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216009;Isopré;Isopré;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216012;Isoter;Isoter;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216014;Issimo;Issimo;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216023;Italica;Italica;HLNTS_ANN;Registered;Yes;;N;;;;25/08/2015;336
216024;Itanol;Itanol;HLNTS_ANN;Surrendered;No;;N;;;;17/03/2004;
216026;Iva;Iva;HLNTS_ANN;Surrendered;Yes;;N;;;;;743
216028;Jacksun;Jacksun;HLNTS_ANN;Surrendered;Yes;;N;;;;04/02/2018;1125
216029;Jaguar;Jaguar;HLNTS_ANN;Registered;Yes;;N;;;;;373
216031;Jalisco;Jalisco;HLNTS_ANN;Surrendered;No;;N;;;;20/02/2001;423
216037;Java Rm;Java Rm;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;369
216039;Jenny;Jenny;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216048;Joy;Joy;HLNTS_ANN;Surrendered;Yes;;N;;;;;
216051;Julius;Julius;HLNTS_ANN;Registered;No;;N;;;;05/02/2021;370
216052;Jullia;Jullia;HLNTS_ANN;Surrendered;No;;N;;;;27/03/2006;1125
216053;Junior;Junior;HLNTS_ANN;Surrendered;Yes;;N;;;;;159
216056;Justin;Justin;HLNTS_ANN;Surrendered;Yes;;N;;;;;750
216057;KE841;KE841;HLNTS_ANN;Surrendered;Yes;;N;;;;20/02/2001;334
216058;KWS Acer CL;KWS Acer CL;HLNTS_ANN;Registered;No;;N;;;;02/02/2017;264
216060;KWS Achilles CLP;KWS Achilles CLP;HLNTS_ANN;Registered;No;;N;;;;04/02/2018;264
216061;KWS Amores CL;KWS Amores CL;HLNTS_ANN;Registered;Yes;;N;;;;05/02/2021;264
