UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
220458;Flavia;Flavia;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;;07/11/1996;60
220506;Genziana;Genziana;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;Spring;29/09/2004;110
220530;Hamel;Hamel;AVENA_SAT;Registered;No;Catalogue Modification;N;;;;31/12/2000;1125 / 381
220488;Fulvia;Fulvia;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;;08/11/2000;60
220720;Nigra;Nigra;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;;08/11/2000;60
220790;Primula;Primula;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;;26/03/2002;
220908;TEOBD40;TEOBD40;AVENA_SAT;Registered;Yes;Modification;N;;;;23/10/2003;1334
220291;Bionda;Bionda;AVENA_SAT;Registered;Yes;Catalogue Modification;N;;;;24/10/2003;1675
220711;Nave;Nave;AVENA_SAT;Registered;Yes;Modification;N;;;Spring;19/02/2015;110
220986;Amazone;Amazone;AVENA_STR;Registered;Yes;;N;;;;10/04/2017;1613
221009;Mora;Mora;AVENA_STR;Registered;Yes;Modification;N;;;;10/09/2015;517
221002;Index;Index;AVENA_STR;Registered;Yes;;N;;;;19/02/2015;267
221011;Otex;Otex;AVENA_STR;Registered;Yes;;N;;;;12/02/2016;267
221017;Saia Supreme;Saia Supreme;AVENA_STR;Surrendered;Yes;;N;;;Winter;06/11/2001;900
221026;Xerex;Xerex;AVENA_STR;Registered;Yes;;N;;;;12/02/2016;267
290110;Venezia;Venezia;AVENA_STR;Registered;Yes;;N;;;;08/11/2022;000
200776;Blanca;Blanca;BETAA_VUL_GVA;Surrendered;Yes;;N;;;;;264
200831;Gialla cilindrica;Gialla cilindrica;BETAA_VUL_GVA;Registered;Yes;;N;;;;04/11/2002;88
200925;Polyfourra;Polyfourra;BETAA_VUL_GVA;Surrendered;No;;N;;;;;264
200927;Polysais Bianca;Polysais Bianca;BETAA_VUL_GVA;Surrendered;Yes;;N;;;;21/10/2002;125
200928;Polysais Gialla;Polysais Gialla;BETAA_VUL_GVA;Registered;Yes;;N;;;;21/10/2002;125
200929;Polysais Rossa;Polysais Rossa;BETAA_VUL_GVA;Registered;Yes;;N;;;;21/10/2002;125
200947;Rossa Mammouth;Rossa Mammouth;BETAA_VUL_GVA;Registered;Yes;;N;;;;21/10/2002;88
200948;Rota;Rota;BETAA_VUL_GVA;Surrendered;No;;N;;;;;264
200957;Semizuccherina;Semizuccherina;BETAA_VUL_GVA;Registered;Yes;;N;;;;04/11/2002;88
